Start Date,Signed Date,Rosh judgement,Likelihood of reoffending,YOGRs,MAPPA Category,MAPPA Level,Indicative Scaled Approach intervention level,Scaled Approach intervention level,Risk to Children?,Overall Safety and Wellbeing Concerns,County lines risk,Vulnerable to criminal exploitation,Case Number,Sexual exploitation risk
02/02/2026 11:44,21/02/2026 00:00,High,High,70,N/A,,Intensive,Intensive,No,High,At risk,Yes,SAMPLE-002,No
30/11/2025 11:53,30/11/2025 00:00,High,High,75,N/A,,Intensive,Intensive,No,High,At risk,Yes,SAMPLE-002,No
30/10/2025 22:41,01/11/2025 00:00,High,High,66,N/A,,Intensive,Intensive,No,High,At risk,Yes,SAMPLE-002,No
07/06/2025 11:50,14/06/2025 00:00,High,High,74,N/A,,Intensive,Intensive,No,High,At risk,Yes,SAMPLE-002,No
10/05/2025 13:34,16/05/2025 00:00,High,High,74,N/A,,Intensive,Intensive,No,High,At risk,Yes,SAMPLE-002,No
29/03/2025 10:08,25/04/2025 00:00,Medium,Medium,67,N/A,,Enhanced,Enhanced,No,High,At risk,Yes,SAMPLE-002,No
22/09/2024 20:59,19/10/2024 00:00,Medium,Medium,49,N/A,,Enhanced,Standard,No,High,At risk,Yes,SAMPLE-002,No
04/03/2024 10:44,20/06/2024 00:00,Medium,Medium,54,N/A,,Enhanced,Standard,No,High,At risk,Yes,SAMPLE-002,No
03/08/2023 14:01,02/03/2024 00:00,Medium,Medium,59,N/A,,Enhanced,Enhanced,No,High,At risk,Yes,SAMPLE-002,No
09/04/2023 11:56,17/07/2023 00:00,Medium,Medium,42,N/A,,Enhanced,Enhanced,No,Medium,At risk,Yes,SAMPLE-002,No
10/05/2026 09:29,,Medium,High,61,N/A,,Intensive,Intensive,No,High,At risk,Yes,SAMPLE-004,No
15/12/2025 14:02,07/02/2026 00:00,Medium,High,61,N/A,,Intensive,Intensive,No,High,At risk,Yes,SAMPLE-004,No
05/09/2025 10:54,30/11/2025 00:00,High,High,63,N/A,,Intensive,Intensive,No,High,At risk,Yes,SAMPLE-004,No
04/08/2025 18:24,17/08/2025 00:00,High,High,69,N/A,,Intensive,Intensive,No,High,At risk,Yes,SAMPLE-004,No
13/07/2025 21:26,19/07/2025 00:00,High,High,69,N/A,,Intensive,,No,High,At risk,Yes,SAMPLE-004,No
11/03/2025 15:56,13/07/2025 00:00,Medium,Medium,64,N/A,,Enhanced,,No,High,At risk,Yes,SAMPLE-004,No
15/12/2024 14:47,25/01/2025 00:00,Medium,Medium,44,N/A,,Enhanced,,No,High,At risk,Yes,SAMPLE-004,No
26/07/2024 15:20,20/08/2024 00:00,High,High,52,N/A,,Intensive,,No,High,At risk,Yes,SAMPLE-004,No
