Case Number,address_id,agency,attendees,contact_date,contact_method,contact_type,context,notes,worker,worker_organisation
SAMPLE-001,,,,20/10/2025 00:00,Phone (to client),Telephone Out,With,sample answer,Worker A,
SAMPLE-001,,,,24/10/2025 00:00,Email (to other),Referral,About,sample answer,Worker A,
SAMPLE-001,,,,03/11/2025 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker A,
SAMPLE-001,,,,11/11/2025 00:00,Other,Information Sharing Meeting,About,sample answer,Worker A,
SAMPLE-001,,,,06/01/2026 00:00,SMS (to other),Letter/Email Out,About,sample answer,Worker A,
SAMPLE-001,,,,17/10/2025 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker A,
SAMPLE-001,,,,23/10/2025 00:00,Face to Face,Management Supervision of Case,About,sample answer,Worker A,
SAMPLE-001,,,,11/11/2025 00:00,Email (to other),Management Oversight,About,sample answer,Worker A,
SAMPLE-001,,,,13/11/2025 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker A,
SAMPLE-001,,,,13/11/2025 00:00,Face to Face,Management Supervision of Case,About,sample answer,Worker A,
SAMPLE-001,,,,13/11/2025 00:00,Other,Management Oversight,About,sample answer,Worker A,
SAMPLE-001,,,,22/12/2025 00:00,Face to Face,Management Supervision of Case,About,sample answer,Worker A,
SAMPLE-001,,,,05/01/2026 00:00,Face to Face,Management Supervision of Case,About,sample answer,Worker A,
SAMPLE-001,,,,18/02/2026 00:00,Face to Face,Management Supervision of Case,About,sample answer,Worker A,
SAMPLE-001,,,,11/03/2026 00:00,Face to Face,Management Supervision of Case,About,sample answer,Worker A,
SAMPLE-001,,,,31/10/2025 00:00,Other,Clinical Health Team Supervision Meeting,About,sample answer,Worker A,
SAMPLE-001,,,,31/10/2025 00:00,Other,Clinical Health Team Supervision Meeting,About,sample answer,Worker A,
SAMPLE-001,,,,14/10/2025 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker A,
SAMPLE-001,,,,11/11/2025 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker A,
SAMPLE-001,,,,29/10/2025 00:00,Face to Face,Mental Health/Therapeutic Contact,With,sample answer,Worker A,
SAMPLE-001,,,,31/10/2025 00:00,Email (to other),Mental Health/Therapeutic Contact,About,sample answer,Worker A,
SAMPLE-001,,,,29/10/2025 00:00,Face to Face,Victim Contact,With,sample answer,Worker A,
SAMPLE-001,,,,29/10/2025 00:00,Face to Face,Victim Contact,With,sample answer,Worker A,
SAMPLE-001,,,,03/11/2025 00:00,Email (to other),Victim Contact,With,sample answer,Worker A,
SAMPLE-001,,,,03/11/2025 00:00,Phone (from other),Victim Contact,With,sample answer,Worker A,
SAMPLE-001,,,,06/01/2026 00:00,Email (to other),Victim Contact,With,sample answer,Worker A,
SAMPLE-001,,,,14/01/2026 00:00,Email (to other),Victim Contact,With,sample answer,Worker A,
SAMPLE-001,,,,23/10/2025 00:00,Face to Face,Assessment meeting,With,sample answer,Worker A,
SAMPLE-001,,,,28/10/2025 00:00,Face to Face,Assessment meeting,With,sample answer,Worker A,
SAMPLE-001,,,,07/11/2025 00:00,Face to Face,Intervention Plan,With,sample answer,Worker A,
SAMPLE-001,,,,14/11/2025 00:00,Face to Face,Social and emotional interventions,With,sample answer,Worker A,
SAMPLE-001,,,,18/11/2025 00:00,Face to Face,Home Visit,With,sample answer,Worker A,
SAMPLE-001,,,,16/12/2025 00:00,Face to Face,Consequential Decision Making/Risky Behaviour,With,sample answer,Worker A,
