Case Number,Intervention ID,Start Date,End Date,Supervisor,Intervention Type,First further offence ro,Key Process,Last Asset ROSH level,Frequency,YOGRS,Last Asset Score,Likelihood of reoffending,Linked Assessment,Linked Offence,Main Outcome,Indicative lor,Indic_sa_intv_level,Most serious offence ro,Num offence 12m ro,Original offence ro,Outcome ro,Re-offended?
SAMPLE-001,32226,14/10/2025 00:00,11/11/2025 00:00,Worker A,Other,No further offences,,,,,,,No,Yes,Successfully Completed,,,No further offences,0,,Other,N
SAMPLE-001,32493,11/11/2025 00:00,10/03/2026 00:00,Worker A,"Outcome 22 (Diversionary, Educational or Intervention Activity)",No further offences,,,Once a Week,,,,No,Yes,Successfully Completed,,,No further offences,0,,"Outcome 22 (Diversionary, Educational or Intervention Activity)",N
SAMPLE-002,19966,28/10/2022 00:00,25/11/2022 00:00,,Other,Violence Against The Person,Out of Court Panel Meeting,,,70,,High,No,No,Successfully Completed,Medium,Intensive,Robbery,1,,Other,Y
SAMPLE-002,19965,25/11/2022 00:00,09/02/2023 00:00,Worker B,Youth Restorative Disposal,Violence Against The Person,"Written Warning,Out of Court Panel Meeting<br>Out of Court Panel Meeting<br>Out of Court Panel Meeting",,,70,,High,No,Yes,Successfully Completed,Medium,Intensive,Robbery,1,,Youth Restorative Disposal,Y
SAMPLE-002,25726,08/06/2023 00:00,01/06/2024 00:00,Worker B,Referral Order,Violence Against The Person,",Initial Panel Meeting<br>Written Warning<br>Written Warning<br>Written Warning<br>Written Warning<br>Written Warning<br>Written Warning<br>Written Warning<br>Plan Created/Agreed<br>Written Warning<br>Written Warning<br>Victim Identified,Progression Panel Meeting<br>Breached<br>Victim Contacted/Consulted<br>1st Review,Breach Panel<br>Breach Panel<br>Breach Panel",,,70,,High,No,Yes,Not Completed Breached Order Revoked (Other) (Terminated),Medium,Intensive,Robbery,1,Violence Against The Person,Referral Order,Y
SAMPLE-002,30626,22/03/2025 00:00,03/05/2025 00:00,Worker B,Other,Robbery,,,,70,,High,No,No,Successfully Completed,Medium,Intensive,Robbery,2,,Other,Y
SAMPLE-002,30886,22/04/2025 00:00,17/05/2025 00:00,Worker B,Bail Support Programme,Vehicle Theft / Unauthorised Taking,,,,70,,High,No,Yes,Successfully Completed,Medium,Intensive,Vehicle Theft / Unauthorised Taking,4,,Bail Support Programme,Y
SAMPLE-002,31126,17/05/2025 00:00,13/02/2026 00:00,Worker B,Youth Rehabilitation Order,Vehicle Theft / Unauthorised Taking,Written Warning re Breach of Curfew<br>Planning Meeting (YoT Attended),,,70,,High,No,Yes,'-,Medium,Intensive,Vehicle Theft / Unauthorised Taking,0,Violence Against The Person,Youth Rehabilitation Order,Y
SAMPLE-003,26346,28/08/2023 00:00,27/09/2023 00:00,Worker C,Community Resolution with YOT Intervention,Criminal Damage,,,,,,,No,Yes,Successfully Completed,,,Violence Against The Person,0,,Community Resolution with YOT Intervention,Y
SAMPLE-003,28190,01/07/2024 00:00,23/07/2024 00:00,Worker C,Other,Criminal Damage,,,,,,,No,Yes,Successfully Completed,,,Violence Against The Person,0,,Other,Y
SAMPLE-003,28350,29/07/2024 00:00,28/10/2024 00:00,Worker C,"Outcome 22 (Diversionary, Educational or Intervention Activity)",Criminal Damage,Verbal Warning,,Once a Week,,,,No,Yes,Successfully Completed,,,Violence Against The Person,0,,"Outcome 22 (Diversionary, Educational or Intervention Activity)",Y
SAMPLE-003,28908,11/11/2024 00:00,10/12/2024 00:00,Worker C,Community Resolution with YOT Intervention,Violence Against The Person,,,,,,,No,Yes,Successfully Completed,,,Violence Against The Person,0,,Community Resolution with YOT Intervention,Y
SAMPLE-003,29846,24/02/2025 00:00,02/04/2025 00:00,Worker C,Other,No further offences,,,,,,,No,Yes,Successfully Completed,,,No further offences,0,Violence Against The Person,Other,N
SAMPLE-003,30226,02/04/2025 00:00,30/07/2025 00:00,Worker C,Youth Conditional Caution,No further offences,Administered/Delivered Pre-Court Outcome,,,,,,No,Yes,Successfully Completed,,,No further offences,0,Violence Against The Person,Youth Conditional Caution,N
SAMPLE-004,26629,11/11/2023 00:00,05/01/2024 00:00,Worker D,Community Resolution with YOT Intervention,Robbery,,,,61,,High,No,Yes,'-,Medium,Intensive,Robbery,0,,Community Resolution with YOT Intervention,Y
SAMPLE-004,26926,06/01/2024 00:00,13/04/2024 00:00,Worker D,Turnaround,Violence Against The Person,,,,61,,High,No,No,Not Completed (YP Missed Sessions),Medium,Intensive,Robbery,1,,Turnaround,Y
SAMPLE-004,28127,21/07/2024 00:00,17/02/2025 00:00,Worker D,Referral Order,Violence Against The Person,1st Review<br>Initial Panel Meeting<br>Work Involving Victim,,,61,,High,No,Yes,Successfully Completed,Medium,Intensive,Robbery,0,Robbery,Referral Order,Y
SAMPLE-004,30628,15/06/2025 00:00,27/07/2025 00:00,Worker D,Other,Robbery,,,,61,,High,No,No,Successfully Completed,Medium,Intensive,Robbery,2,,Other,Y
SAMPLE-004,30887,16/07/2025 00:00,09/08/2025 00:00,Worker D,Bail Support Programme,No further offences,,,,61,,High,No,Yes,Successfully Completed,Medium,Intensive,No further offences,4,,Bail Support Programme,N
SAMPLE-004,31047,10/08/2025 00:00,10/05/2026 00:00,Worker D,Youth Rehabilitation Order,No further offences,",Verbal Warning<br>Review,Written Warning<br>Initial Panel Meeting",,Twice a Week,61,,High,No,Yes,'-,Medium,Intensive,No further offences,4,,Youth Rehabilitation Order,N
SAMPLE-005,31586,14/07/2025 00:00,11/08/2025 00:00,Worker E,Other,No further offences,,,,,,,No,Yes,Successfully Completed,,,No further offences,0,,Other,N
