Case Number,CLA End Date,CLA Start Date,Completed within 72 hrs?,Missing Person Start Date,REASON,Missing Person End Date,Day of Week,Duration of Time Missing
SAMPLE-001,,,Yes,26/01/2026 00:00,Out with BF/GF,26/01/2026 20:38,1,MT1 - Less than 24 hours
SAMPLE-001,,,Yes,25/01/2026 00:00,Out with BF/GF,25/01/2026 20:00,7,MT1 - Less than 24 hours
SAMPLE-002,,25/10/2025 00:00,No,27/11/2025 00:00,Family/Placement Breakdown,28/11/2025 09:00,1,MT1 - Less than 24 hours
SAMPLE-002,,25/10/2025 00:00,No,15/11/2025 00:00,Other,16/11/2025 01:05,3,MT1 - Less than 24 hours
SAMPLE-002,,25/10/2025 00:00,Yes,13/11/2025 00:00,Family/Placement Breakdown,13/11/2025 09:45,1,MT1 - Less than 24 hours
SAMPLE-002,,25/10/2025 00:00,Yes,15/10/2025 00:00,Family/Placement Breakdown,16/10/2025 15:50,7,MT1 - Less than 24 hours
SAMPLE-003,,,No,21/06/2025 00:00,Out with friends,21/06/2025 09:30,7,MT1 - Less than 24 hours
SAMPLE-004,,,Yes,13/12/2025 00:00,Family/Placement Breakdown,13/12/2025 04:20,2,MT1 - Less than 24 hours
SAMPLE-005,,,,06/04/2026 00:00,,07/04/2026 00:10,2,MT1 - Less than 24 hours
SAMPLE-005,,,,26/03/2026 00:00,,26/03/2026 23:47,5,MT1 - Less than 24 hours
SAMPLE-005,,,No,15/03/2026 00:00,Out with friends,16/03/2026 00:21,1,MT1 - Less than 24 hours
SAMPLE-005,,,No,20/03/2025 00:00,Out with friends,21/03/2025 00:20,5,MT1 - Less than 24 hours
SAMPLE-005,,,No,06/02/2026 00:00,Out with friends,07/02/2026 00:11,6,MT1 - Less than 24 hours
SAMPLE-005,,,No,15/06/2025 00:00,Out with friends,17/06/2025 00:40,1,MT2 - Between 1 and 6 days
SAMPLE-005,,,Yes,06/03/2026 00:00,Out with friends,06/03/2026 11:00,6,MT1 - Less than 24 hours
