Offence,Offence Date,Plea,Outcome,Gravity,Knife related,Gang related,Offence age,ETE at Offence Date,CJS Code,Police Reference,Aggravating factor,Arrest Date,Charge Date,Court Reference,Date,Description,First Court Date,Last Court Date,Main Offence,Mitigation,No of hours,No of sessions,Offence Factor,Police Comments,Risk Level,Victim,Case Number
Assault a person thereby occasioning them actual bodily harm 3,29/08/2025 00:00,Guilty,Deferred Prosecution Outcome 22,,,,14y,At School,OF61102,,,,,,14/10/2025 00:00,,,,,,,,,,'-,,SAMPLE-001
Theft from the person of another 3,29/08/2025 00:00,Guilty,Deferred Prosecution Outcome 22,,,,14y,At School,TH68001,,,,,,14/10/2025 00:00,,,,,,,,,,'-,,SAMPLE-001
Arrest by a constable for breaking / likely to break bail conditions - duty to surrender into the custody of a court 4,08/04/2025 00:00,Guilty,Youth Rehabilitation Order,,,,15y 4m,Virtual/Online Learning,BA76005,,,,,,,,,,,,,,,,'-,,SAMPLE-002
Criminal damage to property valued under £5000 2,12/05/2022 00:00,Guilty,Community Resolution - other agency facilitated,,,,12y 5m,At School,CD71039,,,,,,03/06/2022 00:00,,,,,,,,,,'-,,SAMPLE-002
Failing to comply with the requirements of a youth rehabilitation order 4,01/04/2023 00:00,No Plea,Order Revoked,,,,13y 3m,Virtual/Online Learning,CJ08507,,,,,,,,,,,,,,,,'-,,SAMPLE-002
Common assault 3,07/10/2022 00:00,Guilty,Youth Restorative Disposal,,,,12y 9m,At School,CJ88001,,,,,,25/11/2022 00:00,,,,,,,,,,'-,,SAMPLE-002
Common assault 3,02/10/2022 00:00,Guilty,Youth Restorative Disposal,,,,12y 9m,At School,CJ88001,,,,,,25/11/2022 00:00,,,,,,,,,,'-,,SAMPLE-002
Possess knife blade / sharp pointed article in a public place - Criminal Justice Act 1988 3,26/02/2025 00:00,Guilty,Youth Rehabilitation Order,,YES,,15y 2m,Virtual/Online Learning,CJ88144,,,,,,,,,,,,,,Knife Carried/Used,,'-,,SAMPLE-002
Assault a person thereby occasioning them actual bodily harm 3,11/09/2022 00:00,Guilty,Referral Order,,,,12y 9m,At School,OF61102,,,,,,,,,,,,,,,,'-,,SAMPLE-002
Reference by Youth Offender Panel - Breach of contract 4,01/04/2023 00:00,Guilty,Referral Order,,,,13y 3m,Virtual/Online Learning,PC00504,,,,,,,,,,,,,,,,'-,,SAMPLE-002
"Use threatening / abusive words / behaviour likely to cause harassment, alarm or distress 2",01/10/2022 00:00,Guilty,Youth Restorative Disposal,,,,12y 9m,At School,PU86149,,,,,,25/11/2022 00:00,,,,,,,,,,'-,,SAMPLE-002
Theft from a shop 3,07/10/2022 00:00,Guilty,Youth Restorative Disposal,,,,12y 9m,At School,TH68010,,,,,,25/11/2022 00:00,,,,,,,,,,'-,,SAMPLE-002
Theft of motor vehicle 3,03/10/2025 00:00,Guilty,Youth Caution,,,,15y 9m,Virtual/Online Learning,TH68013,,,,,,31/10/2025 00:00,,,,,,,,,,'-,,SAMPLE-002
Robbery 6,26/02/2025 00:00,Guilty,Youth Rehabilitation Order,,,,15y 2m,Virtual/Online Learning,TH68023,,,,,,,,,,,,,,,,'-,,SAMPLE-002
Robbery 6,08/04/2025 00:00,Guilty,Youth Rehabilitation Order,,,,15y 4m,Virtual/Online Learning,TH68023,,,,,,,,,,,,,,,,'-,,SAMPLE-002
Criminal damage to property valued under £5000 2,11/10/2024 00:00,Guilty,Community Resolution with YOT Intervention,,,,13y 11m,At School Alternative Programme Pupil Referral Unit/Special Unit,CD71039,,,,,,11/11/2024 00:00,,,,,,,,,,'-,,SAMPLE-003
